Dimension,Metric
userGender,cartToViewRate
userGender,checkouts
userGender,conversions
userGender,newUsers
userGender,totalRevenue
userGender,totalUsers
userGender,transactions
userGender,userConversionRate
userGender,userEngagementDuration
userGender,sessions
userGender,bounceRate
date,activeUsers
date,addToCarts
date,averagePurchaseRevenue
date,averagePurchaseRevenuePerPayingUser
date,averagePurchaseRevenuePerUser
date,averageRevenuePerUser
date,averageSessionDuration
date,cartToViewRate
date,checkouts
date,conversions
date,newUsers
date,organicGoogleSearchAveragePosition
date,organicGoogleSearchClickThroughRate
date,organicGoogleSearchClicks
date,organicGoogleSearchImpressions
date,totalRevenue
date,totalUsers
date,transactions
date,userConversionRate
date,userEngagementDuration
date,sessions
date,bounceRate
dateHour,activeUsers
dateHour,addToCarts
dateHour,averagePurchaseRevenue
dateHour,averagePurchaseRevenuePerPayingUser
dateHour,averagePurchaseRevenuePerUser
dateHour,averageRevenuePerUser
dateHour,averageSessionDuration
dateHour,cartToViewRate
dateHour,checkouts
dateHour,conversions
dateHour,newUsers
dateHour,totalRevenue
dateHour,totalUsers
dateHour,transactions
dateHour,userConversionRate
dateHour,userEngagementDuration
dateHour,sessions
dateHour,bounceRate
dateHourMinute,activeUsers
dateHourMinute,addToCarts
dateHourMinute,averagePurchaseRevenue
dateHourMinute,averagePurchaseRevenuePerPayingUser
dateHourMinute,averagePurchaseRevenuePerUser
dateHourMinute,averageRevenuePerUser
dateHourMinute,averageSessionDuration
dateHourMinute,cartToViewRate
dateHourMinute,checkouts
dateHourMinute,conversions
dateHourMinute,newUsers
dateHourMinute,totalRevenue
dateHourMinute,totalUsers
dateHourMinute,transactions
dateHourMinute,userConversionRate
dateHourMinute,userEngagementDuration
dateHourMinute,sessions
dateHourMinute,bounceRate
dayOfWeekName,activeUsers
dayOfWeekName,addToCarts
dayOfWeekName,averagePurchaseRevenue
dayOfWeekName,averagePurchaseRevenuePerPayingUser
dayOfWeekName,averagePurchaseRevenuePerUser
dayOfWeekName,averageRevenuePerUser
dayOfWeekName,averageSessionDuration
dayOfWeekName,cartToViewRate
dayOfWeekName,checkouts
dayOfWeekName,conversions
dayOfWeekName,newUsers
dayOfWeekName,organicGoogleSearchAveragePosition
dayOfWeekName,organicGoogleSearchClickThroughRate
dayOfWeekName,organicGoogleSearchClicks
dayOfWeekName,organicGoogleSearchImpressions
dayOfWeekName,totalRevenue
dayOfWeekName,totalUsers
dayOfWeekName,transactions
dayOfWeekName,userConversionRate
dayOfWeekName,userEngagementDuration
dayOfWeekName,sessions
dayOfWeekName,bounceRate
sessionSource,activeUsers
sessionSource,addToCarts
sessionSource,advertiserAdClicks
sessionSource,advertiserAdCost
